DRAW,BETS,6/45,6/49,6/55,6/58,2D STRAIGHT,2D RUMBLE,POMPI / PETSADA STRAIGHT,PETSADA RUMBLE,3D STRAIGHT,TRIO,3D RUMBLE,,,,
PICK 3,FB,7500,7500,7500,7500,,,,,,,,,,,
PICK 3,25,8200,9000,9800,10500,,,,,,,,,,,
PICK 3,50,16400,18000,19600,21000,,,,,,,,,,,
PICK 3,75,24600,27000,29400,31500,,,,,,,,,,,
PICK 3,100,32800,36000,39200,42000,,,,,,,,,,,
PICK 3,150,49200,54000,58800,63000,,,,,,,,,,,
PICK 3,200,65600,72000,78400,84000,,,,,,,,,,,
PICK 3,250,82000,90000,98000,105000,,,,,,,,,,,
PICK 3,300,98400,108000,117600,126000,,,,,,,,,,,
PICK 3,350,114800,126000,137200,147000,,,,,,,,,,,
PICK 3,400,131200,144000,156800,168000,,,,,,,,,,,
PICK 3,450,147600,162000,176400,189000,,,,,,,,,,,
PICK 3,500,164000,180000,196000,210000,,,,,,,,,,,
2D,10,,,,,4900,2450,4300,2150,,,,,,,
2D,20,,,,,9800,4900,8600,4300,,,,,,,
2D,30,,,,,14700,7350,12900,6450,,,,,,,
2D,40,,,,,19600,9800,17200,8600,,,,,,,
2D,50,,,,,24500,12250,21500,10750,,,,,,,
2D,60,,,,,29400,14700,25800,12900,,,,,,,
2D,70,,,,,34300,17150,30100,15050,,,,,,,
2D,80,,,,,39200,19600,34400,17200,,,,,,,
2D,90,,,,,44100,22050,38700,19350,,,,,,,
2D,100,,,,,49000,24500,43000,21500,,,,,,,
2D,150,,,,,73500,36750,64500,32250,,,,,,,
2D,200,,,,,98000,49000,86000,43000,,,,,,,
2D,250,,,,,122500,61250,107500,53750,,,,,,,
3D,10,,,,,,,,,4800,4300,750,,,,
3D,20,,,,,,,,,9600,8600,1500,,,,
3D,30,,,,,,,,,14400,12900,2250,,,,
3D,40,,,,,,,,,19200,17200,3000,,,,
3D,50,,,,,,,,,24000,21500,3750,,,,
3D,60,,,,,,,,,28800,25800,4500,,,,
3D,70,,,,,,,,,33600,30100,5250,,,,
3D,80,,,,,,,,,38400,34400,6000,,,,
3D,90,,,,,,,,,43200,38700,6750,,,,
3D,100,,,,,,,,,48000,43000,7500,,,,
3D,150,,,,,,,,,72000,64500,11250,,,,
3D,200,,,,,,,,,96000,86000,15000,,,,
3D,250,,,,,,,,,120000,107500,18750,,,,
