DATE,TIME,WINNING NUMBERS,DRAW
"Sep 01, 2024",2PM,02 - 08,2D LOTTO
"Sep 01, 2024",2PM,8 - 4 - 1,3D LOTTO
"Sep 01, 2024",5PM,04 - 11,2D LOTTO
"Sep 01, 2024",5PM,0 - 6 - 6,3D LOTTO
"Sep 01, 2024",9PM,28 - 20,2D LOTTO
"Sep 01, 2024",9PM,7 - 5 - 8,3D LOTTO
"Sep 01, 2024",9PM,20 - 44 - 28 - 04 - 16 - 48,6/49 SUPER LOTTO
"Sep 02, 2024",2PM,17 - 15,2D LOTTO
"Sep 02, 2024",2PM,3 - 0 - 4,3D LOTTO
"Sep 02, 2024",5PM,27 - 02,2D LOTTO
"Sep 02, 2024",5PM,7 - 4 - 9,3D LOTTO
"Sep 02, 2024",9PM,21 - 16,2D LOTTO
"Sep 02, 2024",9PM,6 - 7 - 1,3D LOTTO
"Sep 02, 2024",9PM,30 - 17 - 36 - 16 - 25 - 39,6/45 MEGA LOTTO
"Sep 03, 2024",2PM,26 - 04,2D LOTTO
"Sep 03, 2024",2PM,3 - 8 - 9,3D LOTTO
"Sep 03, 2024",5PM,28 - 14,2D LOTTO
"Sep 03, 2024",5PM,0 - 1 - 9,3D LOTTO
"Sep 03, 2024",9PM,22 - 23,2D LOTTO
"Sep 03, 2024",9PM,1 - 9 - 1,3D LOTTO
"Sep 03, 2024",9PM,11 - 13 - 20 - 44 - 01 - 18,6/49 SUPER LOTTO
"Sep 04, 2024",2PM,18 - 04,2D LOTTO
"Sep 04, 2024",2PM,2 - 4 - 2,3D LOTTO
"Sep 04, 2024",5PM,21 - 13,2D LOTTO
"Sep 04, 2024",5PM,0 - 8 - 5,3D LOTTO
"Sep 04, 2024",9PM,02 - 22,2D LOTTO
"Sep 04, 2024",9PM,0 - 1 - 7,3D LOTTO
"Sep 04, 2024",9PM,33 - 42 - 28 - 16 - 43 - 20,6/45 MEGA LOTTO
"Sep 05, 2024",2PM,28 - 18,2D LOTTO
"Sep 05, 2024",2PM,4 - 9 - 4,3D LOTTO
"Sep 05, 2024",5PM,19 - 07,2D LOTTO
"Sep 05, 2024",5PM,9 - 3 - 6,3D LOTTO
"Sep 05, 2024",9PM,22 - 29,2D LOTTO
"Sep 05, 2024",9PM,7 - 5 - 1,3D LOTTO
"Sep 05, 2024",9PM,28 - 49 - 44 - 42 - 09 - 12,6/49 SUPER LOTTO
"Sep 06, 2024",2PM,22 - 26,2D LOTTO
"Sep 06, 2024",2PM,4 - 9 - 2,3D LOTTO
"Sep 06, 2024",5PM,08 - 03,2D LOTTO
"Sep 06, 2024",5PM,5 - 3 - 4,3D LOTTO
"Sep 06, 2024",9PM,12 - 31,2D LOTTO
"Sep 06, 2024",9PM,9 - 1 - 1,3D LOTTO
"Sep 06, 2024",9PM,53 - 45 - 18 - 41 - 40 - 13,6/58 ULTRA LOTTO
"Sep 07, 2024",2PM,20 - 03,2D LOTTO
